seq,date,entry_frame,exit_frame,ticker,opt_type,buy_price,sell_price,contracts,pnl_dollars,cumulative_pnl,source,result
210,2026-06-02,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,3.8025,2.648,1,-115.45,11243.34,REAL,LOSS
211,2026-06-02,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,3.8825,2.274,1,-160.85,11082.49,REAL,LOSS
212,2026-06-02,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,6.53,7.448,1,91.8,11174.29,REAL,WIN
213,2026-06-02,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.156,0.112,7,-30.8,11143.49,REAL,LOSS
214,2026-06-09,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.18,0.1189,1,-206.11,10937.38,REAL,LOSS
215,2026-06-09,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,4.994,1.2827,1,-371.13,10566.25,REAL,LOSS
216,2026-06-09,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,6.1862,26.935,1,2074.88,12641.13,REAL,WIN
217,2026-06-09,9:43–9:54 AM,10:57–11:05 AM,META,P,3.14,4.2687,1,112.87,12754.0,REAL,WIN
218,2026-06-09,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,2.1252,5.5633,1,343.81,13097.81,REAL,WIN
219,2026-06-09,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,3.665,9.0833,1,541.83,13639.64,REAL,WIN
220,2026-06-09,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,2.486,5.29,1,280.4,13920.04,REAL,WIN
221,2026-06-09,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,5.99,8.01,1,202.0,14122.04,REAL,WIN
222,2026-06-09,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,0.176,0.426,6,150.0,14272.04,REAL,WIN
223,2026-06-09,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,1.904,1.39,1,-51.4,14220.64,REAL,LOSS
224,2026-06-09,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,0.608,0.954,2,69.2,14289.84,REAL,WIN
225,2026-06-09,12:08–12:13 PM,2:14–2:19 PM,META,C,4.1375,4.375,1,23.75,14313.59,REAL,WIN
226,2026-06-09,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,0.384,0.444,3,18.0,14331.59,REAL,WIN
227,2026-06-09,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,8.942,10.705,1,176.3,14507.89,REAL,WIN
228,2026-06-16,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.4783,4.2525,1,177.42,14685.31,REAL,WIN
229,2026-06-16,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.752,6.2437,1,249.17,14934.48,REAL,WIN
230,2026-06-16,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,3.7227,3.894,1,17.13,14951.61,REAL,WIN
231,2026-06-16,9:43–9:54 AM,10:57–11:05 AM,META,P,3.1927,4.9614,1,176.87,15128.48,REAL,WIN
232,2026-06-16,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,4.1882,4.3226,1,13.44,15141.92,REAL,WIN
233,2026-06-16,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,2.055,2.282,1,22.7,15164.62,REAL,WIN
234,2026-06-16,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,2.43,1.48,1,-95.0,15069.62,REAL,LOSS
235,2026-06-16,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,1.2975,2.6867,1,138.92,15208.54,REAL,WIN
236,2026-06-16,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,1.426,1.228,1,-19.8,15188.74,REAL,LOSS
237,2026-06-16,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,2.516,1.6033,1,-91.27,15097.47,REAL,LOSS
238,2026-06-16,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.518,1.098,1,-142.0,14955.47,REAL,LOSS
239,2026-06-16,12:08–12:13 PM,2:14–2:19 PM,META,C,5.41,6.126,1,71.6,15027.07,REAL,WIN
240,2026-06-16,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,5.572,6.586,1,101.4,15128.47,REAL,WIN
241,2026-06-16,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.314,0.428,4,45.6,15174.07,REAL,WIN
242,2026-06-23,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.2667,2.3825,1,11.58,15185.65,REAL,WIN
243,2026-06-23,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,4.5025,5.14,1,63.75,15249.4,REAL,WIN
244,2026-06-23,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,4.5038,6.916,1,241.22,15490.62,REAL,WIN
245,2026-06-23,9:43–9:54 AM,10:57–11:05 AM,META,P,4.0527,5.0688,1,101.6,15592.22,REAL,WIN
246,2026-06-23,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,1.4922,1.7981,1,30.59,15622.81,REAL,WIN
247,2026-06-23,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,0.935,1.562,2,125.4,15748.21,REAL,WIN
248,2026-06-23,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,0.758,1.5786,2,164.11,15912.32,REAL,WIN
249,2026-06-23,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,1.48,1.01,1,-47.0,15865.32,REAL,LOSS
250,2026-06-23,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,2.516,2.495,1,-2.1,15863.22,REAL,LOSS
251,2026-06-23,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,4.866,5.65,1,78.4,15941.62,REAL,WIN
252,2026-06-23,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.61,2.845,1,23.5,15965.12,REAL,WIN
253,2026-06-23,12:08–12:13 PM,2:14–2:19 PM,META,C,4.074,4.162,1,8.8,15973.92,REAL,WIN
254,2026-06-23,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,2.742,1.994,1,-74.8,15899.12,REAL,LOSS
255,2026-06-23,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,1.58,2.768,1,118.8,16017.92,REAL,WIN
256,2026-06-30,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,2.8033,6.55,1,374.67,16392.59,REAL,WIN
257,2026-06-30,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.486,5.383,1,189.7,16582.29,REAL,WIN
258,2026-06-30,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,4.1996,1.554,1,-264.56,16317.73,REAL,LOSS
259,2026-06-30,9:43–9:54 AM,10:57–11:05 AM,META,P,7.5067,10.48,1,297.33,16615.06,REAL,WIN
260,2026-06-30,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,2.9211,3.3295,1,40.84,16655.9,REAL,WIN
261,2026-06-30,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,1.06,0.64,1,-42.0,16613.9,REAL,LOSS
262,2026-06-30,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,1.17,1.5514,1,38.14,16652.04,REAL,WIN
263,2026-06-30,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,1.586,0.944,1,-64.2,16587.84,REAL,LOSS
264,2026-06-30,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,3.934,3.9525,1,1.85,16589.69,REAL,WIN
265,2026-06-30,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,3.734,3.774,1,4.0,16593.69,REAL,WIN
266,2026-06-30,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,2.768,2.87,1,10.2,16603.89,REAL,WIN
267,2026-06-30,12:08–12:13 PM,2:14–2:19 PM,META,C,3.844,5.438,1,159.4,16763.29,REAL,WIN
268,2026-06-30,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,10.975,16.19,1,521.5,17284.79,REAL,WIN
269,2026-06-30,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,0.38,0.298,3,-24.6,17260.19,REAL,LOSS
270,2026-07-07,9:30–9:36 AM,2:20–2:29 PM,AAPL,C,1.99,0.6878,1,-130.22,17129.97,REAL,LOSS
271,2026-07-07,9:30–9:35 AM,11:19–11:30 AM,GOOGL,C,3.562,3.5712,1,0.92,17130.89,REAL,WIN
272,2026-07-07,9:32–9:58 AM,12:30–12:35 PM,TSLA,P,7.4977,11.42,1,392.23,17523.12,REAL,WIN
273,2026-07-07,9:43–9:54 AM,10:57–11:05 AM,META,P,3.7567,5.8888,1,213.21,17736.33,REAL,WIN
274,2026-07-07,9:50–10:45 AM,10:54 AM–12:45 PM,MSFT,P,3.4643,3.1275,1,-33.68,17702.65,REAL,LOSS
275,2026-07-07,9:51–9:57 AM,11:27–11:32 AM,NVDA,P,1.1483,0.67,1,-47.83,17654.82,REAL,LOSS
276,2026-07-07,10:39–10:44 AM,11:28–11:35 AM,AMZN,P,2.192,3.1486,1,95.66,17750.48,REAL,WIN
277,2026-07-07,11:16–11:21 AM,12:59–1:05 PM,GOOGL,P,2.576,1.73,1,-84.6,17665.88,REAL,LOSS
278,2026-07-07,11:28–11:33 AM,2:35–2:40 PM,NVDA,C,3.766,7.6,1,383.4,18049.28,REAL,WIN
279,2026-07-07,11:30–11:35 AM,1:40–1:45 PM,MSFT,C,4.052,3.65,1,-40.2,18009.08,REAL,LOSS
280,2026-07-07,11:31–11:36 AM,1:41–1:46 PM,AMZN,C,1.352,2.3333,1,98.13,18107.21,REAL,WIN
281,2026-07-07,12:08–12:13 PM,2:14–2:19 PM,META,C,5.896,15.73,1,983.4,19090.61,REAL,WIN
282,2026-07-07,12:32–12:37 PM,3:42–3:47 PM,TSLA,C,1.41,0.716,1,-69.4,19021.21,REAL,LOSS
283,2026-07-07,2:40–2:45 PM,3:41–3:46 PM,AAPL,P,2.79,3.76,1,97.0,19118.21,REAL,WIN
